IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP12;IP_PROP5;IP_PROP4;IP_PROP8;IP_PROP11;IP_PROP7;IP_PROP6;IP_PROP10;IP_PROP13;IC_GROUP0;IC_GROUP1;IC_GROUP2
7;Стажер-аналитик;7;Y;;;;"<b>В отделе управления доходами открыта вакансия Стажер.&nbsp;</b>Мы ждём активных, готовых к вызову, любящих делать гипотезы и искать факты для их подтверждения!";html;;"<b>ЗАО «Группа компаний С7» (S7 Group) — управляющая компания холдинга S7.</b><br>
 <br>
 Мы работаем в сложной отрасли - здесь важно быть на шаг впереди: узнавать что-то новое, следить за прогрессом технологий, новыми решениями.<br>
 <br>
 Предлагать идеи, ответственно подходить к работе, добиваться результата и получать от этого удовольствие - вот что является залогом успеха в компании.<br>
 <br>
 <b>В отделе управления доходами открыта вакансия Стажер.</b><br>
 <br>
 Мы ждём активных, готовых к вызову, любящих делать гипотезы и искать факты для их подтверждения!<br>
 <br>
 Во время этой стажировки вы получите знания по анализу пассажиропотока на рейсах авиакомпании S7, чтобы сделать полёты наших пассажиров эффективнее.<br>
 <br>
 Присоединяйтесь к нашей команде, получайте удовольствие от новых задач и интересных проектов, находите новых друзей и проявите себя!<br>";html;;500;Аналитическое мышление, Ориентация на результат, Математический анализ, Экономический анализ;Новосибирск, микрорайон Академгородок, улица Николаева, 11/1;Аналитика;2;3;Новосибирск;;1;"Если ты:  - готов уделить стажировке от 20 часов в неделю (от 4 часов в день);  - любишь цифры и данные;  - учишься на последних курсах бакалавриата или магистратуры (факультеты: математический, экономический, технический);  - готов работать полный день через 3 месяца, то мы приглашаем тебя на стажировку.";"Во время стажировки:  - у тебя будет опытный наставник и даже команда отзывчивых коллег;  - подробная программа обучения (баланс теории и практики);  - обучение на реальных кейсах;  - будешь анализировать пассажиропоток и эффективность рейсов в Восточную Сибирь и Дальний Восток и многое другое.  Что еще:  - уютный офис в Академгородке со своей кухней;  - сплоченный коллектив, который ""тусит"" не только в офисе, но и отдыхает вместе;  - официальное трудоустройство;  - перспективы развития в авиации;  - программы заботы о сотрудниках.";;;
7;Стажер-аналитик;7;Y;;;;"<b>В отделе управления доходами открыта вакансия Стажер.&nbsp;</b>Мы ждём активных, готовых к вызову, любящих делать гипотезы и искать факты для их подтверждения!";html;;"<b>ЗАО «Группа компаний С7» (S7 Group) — управляющая компания холдинга S7.</b><br>
 <br>
 Мы работаем в сложной отрасли - здесь важно быть на шаг впереди: узнавать что-то новое, следить за прогрессом технологий, новыми решениями.<br>
 <br>
 Предлагать идеи, ответственно подходить к работе, добиваться результата и получать от этого удовольствие - вот что является залогом успеха в компании.<br>
 <br>
 <b>В отделе управления доходами открыта вакансия Стажер.</b><br>
 <br>
 Мы ждём активных, готовых к вызову, любящих делать гипотезы и искать факты для их подтверждения!<br>
 <br>
 Во время этой стажировки вы получите знания по анализу пассажиропотока на рейсах авиакомпании S7, чтобы сделать полёты наших пассажиров эффективнее.<br>
 <br>
 Присоединяйтесь к нашей команде, получайте удовольствие от новых задач и интересных проектов, находите новых друзей и проявите себя!<br>";html;;500;Аналитическое мышление, Ориентация на результат, Математический анализ, Экономический анализ;Новосибирск, микрорайон Академгородок, улица Николаева, 11/1;Аналитика;2;4;Новосибирск;;1;"Если ты:  - готов уделить стажировке от 20 часов в неделю (от 4 часов в день);  - любишь цифры и данные;  - учишься на последних курсах бакалавриата или магистратуры (факультеты: математический, экономический, технический);  - готов работать полный день через 3 месяца, то мы приглашаем тебя на стажировку.";"Во время стажировки:  - у тебя будет опытный наставник и даже команда отзывчивых коллег;  - подробная программа обучения (баланс теории и практики);  - обучение на реальных кейсах;  - будешь анализировать пассажиропоток и эффективность рейсов в Восточную Сибирь и Дальний Восток и многое другое.  Что еще:  - уютный офис в Академгородке со своей кухней;  - сплоченный коллектив, который ""тусит"" не только в офисе, но и отдыхает вместе;  - официальное трудоустройство;  - перспективы развития в авиации;  - программы заботы о сотрудниках.";;;
